model,task_id,rollout_id,step,group_id,candidate_id,domain,invalid_outputs,invalid_provenance,rollout_invalid_outputs,stage,group_position,gold_count,unique_gold_A,completion_length,raw_n,grounded_n,coverage,s_cot,s_explore,dsr_branch,primary_reward,closed,raw_invalid_text
dsr,dsr:2:3:0,2,2,9886d50833d0057054a165cad6e78eaaa0438b716e4a53f2a1b84ee40a63e284,0,living,,unavailable:not_persisted_per_task,0,0-50,3,2,2,,,,,,,,,,
dsr,dsr:2:3:1,2,2,9886d50833d0057054a165cad6e78eaaa0438b716e4a53f2a1b84ee40a63e284,1,living,,unavailable:not_persisted_per_task,0,0-50,3,2,2,,,,,,,,,,
dsr,dsr:2:3:2,2,2,9886d50833d0057054a165cad6e78eaaa0438b716e4a53f2a1b84ee40a63e284,2,living,,unavailable:not_persisted_per_task,0,0-50,3,2,2,,,,,,,,,,
dsr,dsr:2:3:3,2,2,9886d50833d0057054a165cad6e78eaaa0438b716e4a53f2a1b84ee40a63e284,3,living,,unavailable:not_persisted_per_task,0,0-50,3,2,2,,,,,,,,,,
dsr,dsr:7:0:0,7,12,f1bd212b32ec1e0144a7f62712c6f16c08df99284c0dee310314e0d548bd432c,0,prod,,unavailable:not_persisted_per_task,1,0-50,0,3,2,,4,4,1.0,0.9861111111111112,0.0,,,,
dsr,dsr:7:0:1,7,12,f1bd212b32ec1e0144a7f62712c6f16c08df99284c0dee310314e0d548bd432c,1,prod,,unavailable:not_persisted_per_task,1,0-50,0,3,2,,0,0,,0.0,0.15487949406953985,,,,
dsr,dsr:7:0:2,7,12,f1bd212b32ec1e0144a7f62712c6f16c08df99284c0dee310314e0d548bd432c,2,prod,,unavailable:not_persisted_per_task,1,0-50,0,3,2,,,,,,,,,,
dsr,dsr:7:0:3,7,12,f1bd212b32ec1e0144a7f62712c6f16c08df99284c0dee310314e0d548bd432c,3,prod,,unavailable:not_persisted_per_task,1,0-50,0,3,2,,,,,,,,,,
dsr,dsr:7:1:0,7,12,b8eb62be9fc57a8c9a163c248120894d01491270f47ada7c41e25af7f9374d7c,0,video,,unavailable:not_persisted_per_task,1,0-50,1,15,11,,,,,,,,,,
dsr,dsr:7:1:1,7,12,b8eb62be9fc57a8c9a163c248120894d01491270f47ada7c41e25af7f9374d7c,1,video,,unavailable:not_persisted_per_task,1,0-50,1,15,11,,,,,,,,,,
dsr,dsr:7:1:2,7,12,b8eb62be9fc57a8c9a163c248120894d01491270f47ada7c41e25af7f9374d7c,2,video,,unavailable:not_persisted_per_task,1,0-50,1,15,11,,,,,,,,,,
dsr,dsr:7:1:3,7,12,b8eb62be9fc57a8c9a163c248120894d01491270f47ada7c41e25af7f9374d7c,3,video,,unavailable:not_persisted_per_task,1,0-50,1,15,11,,,,,,,,,,
dsr,dsr:7:2:0,7,12,2f8b9238c59badc96cd439911c7c42afd62e8cefa539853df2d36a549228d2b3,0,living,,unavailable:not_persisted_per_task,1,0-50,2,2,2,,,,,,,,,,
dsr,dsr:7:2:1,7,12,2f8b9238c59badc96cd439911c7c42afd62e8cefa539853df2d36a549228d2b3,1,living,,unavailable:not_persisted_per_task,1,0-50,2,2,2,,,,,,,,,,
dsr,dsr:7:2:2,7,12,2f8b9238c59badc96cd439911c7c42afd62e8cefa539853df2d36a549228d2b3,2,living,,unavailable:not_persisted_per_task,1,0-50,2,2,2,,,,,,,,,,
dsr,dsr:7:2:3,7,12,2f8b9238c59badc96cd439911c7c42afd62e8cefa539853df2d36a549228d2b3,3,living,,unavailable:not_persisted_per_task,1,0-50,2,2,2,,,,,,,,,,
dsr,dsr:7:3:0,7,12,2dc02a7c59eb8279b7caa10022e6a9ee7c30c8d851b632515315806e1655bd75,0,prod,,unavailable:not_persisted_per_task,1,0-50,3,2,1,,,,,,,,,,
dsr,dsr:7:3:1,7,12,2dc02a7c59eb8279b7caa10022e6a9ee7c30c8d851b632515315806e1655bd75,1,prod,,unavailable:not_persisted_per_task,1,0-50,3,2,1,,,,,,,,,,
dsr,dsr:7:3:2,7,12,2dc02a7c59eb8279b7caa10022e6a9ee7c30c8d851b632515315806e1655bd75,2,prod,,unavailable:not_persisted_per_task,1,0-50,3,2,1,,,,,,,,,,
dsr,dsr:7:3:3,7,12,2dc02a7c59eb8279b7caa10022e6a9ee7c30c8d851b632515315806e1655bd75,3,prod,,unavailable:not_persisted_per_task,1,0-50,3,2,1,,,,,,,,,,
dsr,dsr:8:0:0,8,14,7b91df630c0a3b6d7232ae4564551cf7bc9db819af9738de06dcde9656fd2e2f,0,ad,,unavailable:not_persisted_per_task,0,0-50,0,2,2,,0,0,,0.0,0.35857028560992416,,,,
dsr,dsr:8:0:1,8,14,7b91df630c0a3b6d7232ae4564551cf7bc9db819af9738de06dcde9656fd2e2f,1,ad,,unavailable:not_persisted_per_task,0,0-50,0,2,2,,3,2,0.6666666666666666,1.0,0.36324705637928434,,,,
dsr,dsr:8:0:2,8,14,7b91df630c0a3b6d7232ae4564551cf7bc9db819af9738de06dcde9656fd2e2f,2,ad,,unavailable:not_persisted_per_task,0,0-50,0,2,2,,,,,,,,,,
dsr,dsr:8:0:3,8,14,7b91df630c0a3b6d7232ae4564551cf7bc9db819af9738de06dcde9656fd2e2f,3,ad,,unavailable:not_persisted_per_task,0,0-50,0,2,2,,,,,,,,,,
dsr,dsr:8:1:0,8,14,d93a68d31aa1ea6d12bc82e135e44340e9a1aaefd4cee134444746ecc9aee9ad,0,prod,,unavailable:not_persisted_per_task,0,0-50,1,2,1,,,,,,,,,,
dsr,dsr:8:1:1,8,14,d93a68d31aa1ea6d12bc82e135e44340e9a1aaefd4cee134444746ecc9aee9ad,1,prod,,unavailable:not_persisted_per_task,0,0-50,1,2,1,,,,,,,,,,
dsr,dsr:8:1:2,8,14,d93a68d31aa1ea6d12bc82e135e44340e9a1aaefd4cee134444746ecc9aee9ad,2,prod,,unavailable:not_persisted_per_task,0,0-50,1,2,1,,,,,,,,,,
dsr,dsr:8:1:3,8,14,d93a68d31aa1ea6d12bc82e135e44340e9a1aaefd4cee134444746ecc9aee9ad,3,prod,,unavailable:not_persisted_per_task,0,0-50,1,2,1,,,,,,,,,,
