scope,step,group_id,candidate_id,domain,coverage,primary_reward,s0,s1,s2,s3,a_s0,a_s1,a_s2,a_s3,rank_s0,rank_s1,rank_s2,rank_s3
fixed_probe,200,fc6e5676c19873ebadd3deed3ed25679d986fe7a7201d02aff860e58a508e82e,2,video,0.5,9.1875,1.0,0.5,0.7071067811865476,1.0,0.9043159045298527,0.577083725634154,0.7907311816792256,0.9043159045298527,2,2,2,2
fixed_probe,200,fc6e5676c19873ebadd3deed3ed25679d986fe7a7201d02aff860e58a508e82e,3,video,1.0,8.4375,0.5,0.5,0.5,0.5,-0.3014386348432842,0.577083725634154,0.07419930527030429,-0.3014386348432842,3,3,3,3
fixed_probe,200,6068defdb009836ada15a9f22c47d97934801e795cf8c33b10587491b824ba6f,0,living,1.0,0.0,1.0,1.0,1.0,1.0,0.5772169666411974,0.7623068505352452,0.6792296309266643,0.5772169666411974,1,1,1,1
fixed_probe,200,6068defdb009836ada15a9f22c47d97934801e795cf8c33b10587491b824ba6f,1,living,0.0,0.0,0.0,0.0,0.0,0.0,-1.731650899923592,-1.6770750711775395,-1.7166957564443484,-1.731650899923592,4,4,4,4
fixed_probe,200,6068defdb009836ada15a9f22c47d97934801e795cf8c33b10587491b824ba6f,2,living,1.0,0.0,1.0,1.0,1.0,1.0,0.5772169666411974,0.7623068505352452,0.6792296309266643,0.5772169666411974,2,2,2,2
fixed_probe,200,6068defdb009836ada15a9f22c47d97934801e795cf8c33b10587491b824ba6f,3,living,0.75,0.0,1.0,0.75,0.8660254037844386,1.0,0.5772169666411974,0.15246137010704905,0.35823649459102036,0.5772169666411974,3,3,3,3
fixed_probe,200,281f3fe03e1ad3b8919df9660a89360561987a44118ba6f0355b78fe7c172700,0,prod,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.9795376778107462,0.975315767036208,0.0,1,1,1,1
fixed_probe,200,281f3fe03e1ad3b8919df9660a89360561987a44118ba6f0355b78fe7c172700,1,prod,0.6666666666666666,0.0,1.0,0.6666666666666666,0.816496580927726,1.0,0.0,-1.2594055857566733,-1.2796281258689868,0.0,2,4,4,2
fixed_probe,200,281f3fe03e1ad3b8919df9660a89360561987a44118ba6f0355b78fe7c172700,2,prod,0.75,8.0,1.0,0.75,0.8660254037844386,1.0,0.0,-0.6996697698648182,-0.6710034082034293,0.0,3,3,3,3
fixed_probe,200,281f3fe03e1ad3b8919df9660a89360561987a44118ba6f0355b78fe7c172700,3,prod,1.0,8.0,1.0,1.0,1.0,1.0,0.0,0.9795376778107462,0.975315767036208,0.0,4,2,2,4
fixed_probe,200,2cb88d8ec6d6fcce66385b20be6885b57a84a607cc0984d99efb1561f8de86c8,0,ad,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1,1,1
fixed_probe,200,2cb88d8ec6d6fcce66385b20be6885b57a84a607cc0984d99efb1561f8de86c8,1,ad,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2,2,2,2
fixed_probe,200,2cb88d8ec6d6fcce66385b20be6885b57a84a607cc0984d99efb1561f8de86c8,2,ad,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,3,3,3
fixed_probe,200,2cb88d8ec6d6fcce66385b20be6885b57a84a607cc0984d99efb1561f8de86c8,3,ad,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4,4,4,4
