source,route,domain,gold_count,reward_pattern,rewards,current_adv,exact_floor_adv,exact_clamp_adv,current_abs_sum,floor_abs_sum,clamp_abs_sum
GR_REC_v1_probe,think,video,20,MIXED_HIGH,"[14.09375,2.25,8.4375,8.375]","[1.385632920571183,-1.44158041399936,0.03543341250451208,0.02051408092366489]","[0.76171875,-0.71875,0.0546875,0.046875]","[0.7255859375,-0.7548828125,0.0185546875,0.0107421875]",2.8831608279987204,1.58203125,1.509765625
GR_REC_v1_probe,nothink,video,20,AB_SIGNAL,"[2.0,0.0,0.5,0.5,2.0,0.0,0.5,2.0]","[1.2565275443206454,-1.1087007744005695,-0.5173936947202658,-0.5173936947202658,1.2565275443206454,-1.1087007744005695,-0.5173936947202658,1.2565275443206454]","[0.1328125,-0.1171875,-0.0546875,-0.0546875,0.1328125,-0.1171875,-0.0546875,0.1328125]","[0.1328125,-0.1171875,-0.0546875,-0.0546875,0.1328125,-0.1171875,-0.0546875,0.1328125]",7.539165265923872,0.796875,0.796875
GR_REC_v1_probe,think,living,2,ALL_ZERO,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]",0.0,0.0,0.0
GR_REC_v1_probe,nothink,living,2,OTHER,"[0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.0]","[0.3775078823921866,0.3775078823921866,0.3775078823921866,0.3775078823921866,0.3775078823921866,0.3775078823921866,-2.642555176745306,0.3775078823921866]","[0.00390625,0.00390625,0.00390625,0.00390625,0.00390625,0.00390625,-0.02734375,0.00390625]","[0.00390625,0.00390625,0.00390625,0.00390625,0.00390625,0.00390625,-0.02734375,0.00390625]",5.285110353490611,0.0546875,0.0546875
GR_REC_v1_probe,think,prod,2,MULTI_EXACT,"[8.25,8.0,8.0,8.0]","[1.730452284221493,-0.5768174280738311,-0.5768174280738311,-0.5768174280738311]","[0.03125,0.0,0.0,0.0]","[0.0234375,0.0,0.0,0.0]",3.4609045684429867,0.03125,0.0234375
GR_REC_v1_probe,nothink,prod,2,ALL_ZERO,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,0.0
GR_REC_v1_probe,think,ad,2,ALL_ZERO,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]",0.0,0.0,0.0
GR_REC_v1_probe,nothink,ad,2,ALL_ZERO,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,0.0
GR_REC_v1_probe,think,video,20,MIXED_HIGH,"[9.1875,8.4375,8.375,8.4375]","[1.7264963535632833,-0.5132826997080031,-0.699930954147277,-0.5132826997080031]","[0.1484375,0.0546875,0.046875,0.0546875]","[0.072265625,0.0,0.0,0.0]",3.4529927071265663,0.3046875,0.072265625
GR_REC_v1_probe,nothink,video,20,AB_SIGNAL,"[0.5,0.5,0.5,0.5,0.0,0.5,0.0,2.0]","[-0.10719286583336265,-0.10719286583336265,-0.10719286583336265,-0.10719286583336265,-0.9647357925002639,-0.10719286583336265,-0.9647357925002639,2.465435914167341]","[-0.0078125,-0.0078125,-0.0078125,-0.0078125,-0.0703125,-0.0078125,-0.0703125,0.1796875]","[-0.0078125,-0.0078125,-0.0078125,-0.0078125,-0.0703125,-0.0078125,-0.0703125,0.1796875]",4.930871828334682,0.359375,0.359375
